time,temperature_2m,precipitation_probability
2026-07-15 00:00:00,25.1,100
2026-07-15 01:00:00,25.1,100
2026-07-15 02:00:00,25.2,100
2026-07-15 03:00:00,25.1,100
2026-07-15 04:00:00,25.0,100
2026-07-15 05:00:00,25.0,100
2026-07-15 06:00:00,25.0,98
2026-07-15 07:00:00,25.0,93
2026-07-15 08:00:00,25.5,86
2026-07-15 09:00:00,26.0,82
2026-07-15 10:00:00,25.0,84
2026-07-15 11:00:00,24.5,88
2026-07-15 12:00:00,27.1,86
2026-07-15 13:00:00,27.3,73
2026-07-15 14:00:00,27.7,54
2026-07-15 15:00:00,27.3,37
2026-07-15 16:00:00,27.4,22
2026-07-15 17:00:00,27.6,9
2026-07-15 18:00:00,26.9,0
2026-07-15 19:00:00,25.9,0
2026-07-15 20:00:00,24.9,0
2026-07-15 21:00:00,24.2,0
2026-07-15 22:00:00,24.0,0
2026-07-15 23:00:00,23.7,0
2026-07-16 00:00:00,22.9,0
2026-07-16 01:00:00,22.4,0
2026-07-16 02:00:00,22.2,0
2026-07-16 03:00:00,22.4,0
2026-07-16 04:00:00,22.4,0
2026-07-16 05:00:00,22.4,0
2026-07-16 06:00:00,22.4,0
2026-07-16 07:00:00,22.5,0
2026-07-16 08:00:00,22.7,0
2026-07-16 09:00:00,23.4,0
2026-07-16 10:00:00,25.1,4
2026-07-16 11:00:00,27.3,9
2026-07-16 12:00:00,29.3,12
2026-07-16 13:00:00,30.8,12
2026-07-16 14:00:00,30.3,10
2026-07-16 15:00:00,29.1,8
2026-07-16 16:00:00,28.0,7
2026-07-16 17:00:00,26.9,5
2026-07-16 18:00:00,25.9,4
2026-07-16 19:00:00,25.2,3
2026-07-16 20:00:00,24.5,3
2026-07-16 21:00:00,23.9,4
2026-07-16 22:00:00,23.4,6
2026-07-16 23:00:00,23.1,9
2026-07-17 00:00:00,23.0,12
2026-07-17 01:00:00,22.5,14
2026-07-17 02:00:00,22.4,15
2026-07-17 03:00:00,22.3,16
2026-07-17 04:00:00,22.0,16
2026-07-17 05:00:00,21.9,15
2026-07-17 06:00:00,21.8,14
2026-07-17 07:00:00,21.9,14
2026-07-17 08:00:00,22.5,14
2026-07-17 09:00:00,23.8,14
2026-07-17 10:00:00,25.4,12
2026-07-17 11:00:00,26.5,9
2026-07-17 12:00:00,27.6,8
2026-07-17 13:00:00,28.8,9
2026-07-17 14:00:00,29.2,11
2026-07-17 15:00:00,29.2,14
2026-07-17 16:00:00,27.9,17
2026-07-17 17:00:00,26.2,21
2026-07-17 18:00:00,25.7,24
2026-07-17 19:00:00,25.3,24
2026-07-17 20:00:00,24.8,22
2026-07-17 21:00:00,24.3,22
2026-07-17 22:00:00,24.1,23
2026-07-17 23:00:00,24.3,26
